,word,corpus,iliad,odyssey
676,Πηλεΐδη,6,6,0
677,ἐκπαγλότατ,3,3,0
678,ἥμιν,2,2,0
679,ἑκάεργον,2,2,0
680,ἱλάσσεαι,1,1,0
681,ἱερά,14,6,8
682,ῥέξας,7,3,4
683,ὑπόδρα,26,17,9
684,ἰδών,119,81,38
685,ὤ,79,44,35
686,ἀναιδείην,2,2,0
687,ἐπιειμένε,1,1,0
688,κερδαλεόφρον,2,2,0
689,πείθηται,1,1,0
690,ὁδόν,43,6,37
691,ἐλθέμεναι,8,5,3
692,ἀνδράσιν,31,12,19
693,Τρώων,214,196,18
694,ἤλυθον,19,11,8
695,αἰχμητάων,10,8,2
696,δεῦρο,40,19,21
697,μαχησόμενος,2,2,0
698,αἴτιοί,3,2,1
699,εἰσιν,22,7,15
700,πώποτ,1,1,0
701,ἐμάς,7,5,2
702,βοῦς,30,14,16
703,ἤλασαν,4,4,0
704,ἵππους,194,175,19
705,ποτ,103,55,48
706,Φθίῃ,1,1,0
707,ἐριβώλακι,5,5,0
708,βωτιανείρῃ,1,1,0
709,καρπόν,11,7,4
710,ἐδηλήσαντ,5,1,4
711,μεταξύ,1,1,0
712,οὔρεά,1,1,0
713,σκιόεντα,15,4,11
714,θάλασσά,1,1,0
715,ἠχήεσσα,1,1,0
716,μέγ,64,43,21
717,ἀναιδές,1,1,0
718,ἅμ,117,57,60
719,ἑσπόμεθ,1,1,0
720,χαίρῃς,2,1,1
721,τιμήν,14,9,5
722,ἀρνύμενοι,1,1,0
723,Μενελάῳ,18,14,4
724,κυνῶπα,1,1,0
725,πρός,238,109,129
726,τῶν,264,177,87
727,μετατρέπῃ,1,1,0
728,ἀλεγίζεις,1,1,0
729,ἀφαιρήσεσθαι,2,2,0
730,ἀπειλεῖς,1,1,0
731,ἔπι,80,63,17
732,μόγησα,6,2,4
733,δόσαν,19,11,8
734,υἷες,52,39,13
735,ποτε,77,39,38
736,ἶσον,20,16,4
737,ἔχω,9,4,5
738,ὁππότ,17,9,8
739,ἐκπέρσωσ,1,1,0
740,ναιόμενον,4,4,0
741,πτολίεθρον,28,20,8
742,πλεῖον,5,3,2
743,πολυάϊκος,2,2,0
744,πολέμοιο,101,97,4
745,χεῖρες,12,8,4
746,ἐμαί,2,1,1
747,διέπουσ,1,1,0
748,ἀτάρ,131,79,52
749,δασμός,1,1,0
750,ἵκηται,25,9,16
751,μεῖζον,14,4,10
752,ὀλίγον,20,13,7
753,ἔρχομ,1,1,0
754,κάμω,1,1,0
755,πολεμίζων,2,2,0
756,εἶμι,20,15,5
757,Φθίην,8,7,1
758,φέρτερόν,3,1,2
759,ἴμεν,57,23,34
760,σύν,214,128,86
761,κορωνίσιν,11,9,2
762,σ,162,71,91
763,ἐνθάδ,75,28,47
764,ἄτιμος,1,1,0
765,ἄφενος,3,2,1
766,πλοῦτον,2,2,0
767,ἀφύξειν,1,1,0
768,φεῦγε,2,1,1
769,μάλ,173,94,79
770,θυμός,222,121,101
771,ἐπέσσυται,3,3,0
772,ἔγωγε,32,32,0
773,λίσσομαι,6,2,4
774,εἵνεκ,13,8,5
775,ἐμεῖο,51,38,13
776,μένειν,14,8,6
777,πάρ,108,62,46
778,ἔμοιγε,8,8,0
779,τιμήσουσι,3,3,0
780,μητίετα,19,16,3
781,ἔχθιστος,4,4,0
782,μοί,31,24,7
783,ἐσσι,50,27,23
784,διοτρεφέων,6,5,1
785,βασιλήων,9,5,4
786,ἔρις,10,7,3
787,φίλη,34,12,22
788,πόλεμοί,2,2,0
789,μάχαι,4,3,1
790,καρτερός,14,8,6
791,θεός,131,58,73
792,σῇς,2,2,0
793,σοῖς,6,4,2
794,ἑτάροισι,30,14,16
795,Μυρμιδόνεσσιν,6,5,1
796,ἄνασσε,7,3,4
797,σέθεν,26,15,11
798,ἀλεγίζω,3,3,0
799,ὄθομαι,1,1,0
800,κοτέοντος,1,1,0
801,ἀπειλήσω,2,2,0
802,ὧδε,93,50,43
803,ἀφαιρεῖται,2,1,1
804,νηΐ,52,27,25
805,ἐμῇ,11,5,6
806,ἐμοῖς,12,2,10
807,πέμψω,11,1,10
808,ἄγω,4,1,3
809,Βρισηΐδα,5,5,0
